t,out2
2.4295,40.397
2.4295,40.397
2.4295,40.397
2.4369,40.421
2.4371,40.422
2.4371,40.422
2.4445,40.445
2.452,40.468
2.461,40.494
2.4713,40.523
2.4836,40.557
2.5,40.599
2.5038,40.608
2.5076,40.618
2.5122,40.631
2.5171,40.644
2.5224,40.66
2.5283,40.678
2.5348,40.698
2.542,40.722
2.5503,40.751
2.5597,40.785
2.5709,40.827
2.5843,40.876
2.6,40.934
2.6059,40.956
2.6117,40.979
2.619,41.008
2.6272,41.041
2.6365,41.082
2.6475,41.131
2.6606,41.191
2.677,41.268
2.7,41.379
2.7056,41.407
2.7113,41.433
2.7119,41.436
2.7119,41.436
2.7176,41.463
2.7191,41.47
2.7191,41.47
2.7248,41.496
2.7305,41.521
2.7412,41.568
2.7528,41.616
2.7671,41.674
2.7848,41.741
2.8,41.796
2.8041,41.81
2.8082,41.824
2.8135,41.842
2.8193,41.861
2.8257,41.882
2.8297,41.894
2.8297,41.894
2.8368,41.916
2.8421,41.932
2.8421,41.932
2.8482,41.95
2.8543,41.968
2.8665,42.002
2.8804,42.038
2.8979,42.082
2.9,42.087
2.9038,42.096
2.9076,42.105
2.9119,42.116
2.9165,42.128
2.9215,42.142
2.927,42.156
2.933,42.171
2.9398,42.188
2.9473,42.206
2.9559,42.226
2.9658,42.248
2.9774,42.273
2.9915,42.301
3,42.317
3.0035,42.323
3.007,42.33
3.0113,42.339
3.0159,42.349
3.0209,42.36
3.0263,42.373
3.0323,42.389
3.039,42.406
3.0398,42.408
3.0398,42.408
3.0472,42.427
3.0503,42.434
3.0503,42.434
3.0563,42.449
3.0622,42.463
3.0742,42.491
3.0873,42.519
3.1,42.545
3.1063,42.558
3.1117,42.568
3.1117,42.568
3.118,42.58
3.1238,42.59
3.1238,42.59
3.1299,42.601
3.136,42.611
3.1483,42.631
3.162,42.651
3.1794,42.675
3.2,42.699
3.2039,42.704
3.2079,42.709
3.213,42.716
3.2184,42.724
3.2245,42.734
3.2311,42.746
3.2386,42.761
3.2472,42.779
3.2569,42.8
3.2687,42.824
3.2828,42.851
3.3,42.881
3.3036,42.887
3.3072,42.893
3.3116,42.902
3.3162,42.911
3.3213,42.921
3.3269,42.932
3.3331,42.944
3.3399,42.957
3.3476,42.971
3.3564,42.987
3.3666,43.004
3.3786,43.022
3.3932,43.043
3.4,43.053
3.4032,43.057
3.4065,43.061
3.4104,43.066
3.4147,43.071
3.4192,43.077
3.4242,43.082
3.4296,43.088
3.4356,43.095
3.4422,43.101
3.4444,43.104
3.4444,43.104
3.4519,43.111
3.4576,43.116
3.4576,43.116
3.4638,43.121
3.47,43.126
3.4824,43.135
3.4966,43.145
3.5,43.147
3.5045,43.149
3.509,43.152
3.5144,43.154
3.5203,43.157
3.5268,43.16
3.534,43.163
3.5352,43.163
3.5352,43.163
3.5434,43.166
3.5502,43.168
3.5583,43.17
3.5676,43.171
3.5783,43.173
3.5911,43.174
3.6,43.174
3.6037,43.174
3.6074,43.174
3.6119,43.175
3.6167,43.177
3.6219,43.18
3.6276,43.183
3.634,43.188
3.6411,43.195
3.6491,43.205
3.6582,43.216
3.6689,43.228
3.6818,43.242
3.6975,43.258
3.7,43.26
3.7057,43.266
3.7114,43.272
3.716,43.278
3.716,43.278
3.7226,43.287
3.7226,43.287
3.7292,43.297
3.7358,43.308
3.7464,43.328
3.7581,43.351
3.7723,43.378
3.7894,43.411
3.8,43.431
3.8053,43.44
3.8106,43.449
3.8143,43.456
3.8143,43.456
3.8211,43.467
3.8211,43.467
3.828,43.478
3.8348,43.489
3.8455,43.505
3.8575,43.521
3.8722,43.54
3.8906,43.561
3.9,43.571
3.9044,43.576
3.9089,43.581
3.9148,43.589
3.9212,43.598
3.9284,43.608
3.9365,43.619
3.9459,43.631
3.9568,43.644
3.9699,43.659
3.9858,43.675
4,43.688
4.0046,43.692
4.0092,43.697
4.0151,43.704
4.0215,43.711
4.0218,43.712
4.0218,43.712
4.0275,43.719
4.0285,43.72
4.0285,43.72
4.0342,43.727
4.04,43.733
4.0505,43.744
4.0619,43.756
4.0759,43.768
4.0933,43.782
4.1,43.786
4.1067,43.791
4.1133,43.795
4.1223,43.8
4.1324,43.804
4.1443,43.809
4.1588,43.814
4.1768,43.818
4.2,43.821
4.2032,43.821
4.2063,43.822
4.2103,43.823
4.2146,43.824
4.2192,43.827
4.2242,43.83
4.2296,43.834
4.2356,43.838
4.2423,43.842
4.2498,43.846
4.2583,43.85
4.2682,43.855
4.2797,43.859
4.2936,43.864
4.3,43.865
4.3034,43.866
4.3069,43.866
4.3111,43.867
4.3156,43.868
4.3205,43.868
4.3258,43.869
4.3316,43.869
4.3359,43.869
4.3359,43.869
4.3411,43.869
4.3411,43.869
4.3463,43.869
4.3516,43.869
4.3614,43.868
4.3719,43.866
4.3847,43.864
4.4,43.86
4.4039,43.858
4.4077,43.857
4.4123,43.855
4.4173,43.853
4.4228,43.851
4.4288,43.848
4.4354,43.845
4.4369,43.844
4.4369,43.844
4.4444,43.841
4.4493,43.838
4.4493,43.838
4.4555,43.835
4.4618,43.831
4.4742,43.823
4.4881,43.813
4.5,43.805
4.5036,43.802
4.5071,43.8
4.5115,43.798
4.5161,43.796
4.5212,43.795
4.5267,43.794
4.5329,43.795
4.5397,43.797
4.5473,43.799
4.556,43.801
4.5661,43.803
4.578,43.804
4.5925,43.805
4.6,43.804
4.6038,43.804
4.6076,43.805
4.6123,43.806
4.6174,43.808
4.6229,43.811
4.629,43.815
4.6326,43.817
4.6326,43.817
4.6393,43.824
4.6393,43.824
4.646,43.83
4.6526,43.837
4.6633,43.847
4.675,43.858
4.6895,43.869
4.7,43.876
4.7043,43.879
4.7087,43.881
4.714,43.884
4.7199,43.888
4.7263,43.891
4.7287,43.892
4.7287,43.892
4.736,43.895
4.7391,43.896
4.7391,43.896
4.7453,43.899
4.7514,43.901
4.7634,43.904
4.7765,43.907
4.793,43.909
4.8,43.909
4.8058,43.91
4.8115,43.911
4.8191,43.915
4.8275,43.92
4.8372,43.929
4.8487,43.939
4.8619,43.951
4.88,43.964
4.9,43.976
4.9031,43.977
4.9063,43.98
4.9103,43.983
4.9145,43.986
4.9191,43.991
4.9241,43.996
4.9295,44.003
4.9355,44.01
4.9421,44.019
4.9495,44.029
4.958,44.039
4.9677,44.05
4.9791,44.062
4.9928,44.076
5,44.082
5.0038,44.085
5.0076,44.088
5.0123,44.092
5.0174,44.096
5.0229,44.1
5.029,44.104
5.0291,44.104
5.0291,44.104
5.0334,44.107
5.0334,44.107
5.0376,44.109
5.0419,44.112
5.0504,44.116
5.0601,44.121
5.0715,44.126
5.0852,44.13
5.1,44.134
5.1049,44.135
5.1098,44.136
5.1158,44.137
5.1184,44.137
5.1184,44.137
5.1233,44.137
5.1233,44.137
5.1283,44.137
5.1332,44.138
5.1428,44.137
5.1531,44.137
5.1655,44.135
5.1805,44.132
5.2,44.126
5.2038,44.125
5.2076,44.125
5.2123,44.124
5.2174,44.125
5.2229,44.126
5.2291,44.128
5.2342,44.131
5.2342,44.131
5.241,44.134
5.2429,44.135
5.2429,44.135
5.2489,44.138
5.2549,44.14
5.2663,44.144
5.2787,44.147
5.2941,44.15
5.3,44.15
5.3033,44.151
5.3065,44.151
5.3106,44.153
5.3149,44.155
5.3196,44.157
5.3247,44.161
5.3303,44.164
5.3365,44.167
5.3434,44.171
5.3511,44.175
5.3599,44.178
5.3702,44.182
5.3822,44.186
5.3968,44.189
5.4,44.189
5.4035,44.19
5.407,44.191
5.4111,44.193
5.4155,44.195
5.4202,44.198
5.4253,44.202
5.431,44.207
5.4372,44.213
5.4405,44.217
5.4405,44.217
5.4474,44.225
5.4483,44.226
5.4483,44.226
5.4542,44.232
5.4602,44.238
5.4712,44.248
5.4832,44.259
5.4981,44.27
5.5,44.271
5.5036,44.274
5.5071,44.276
5.5111,44.279
5.5154,44.281
5.52,44.284
5.525,44.286
5.5305,44.289
5.5365,44.292
5.5432,44.295
5.5507,44.298
5.5593,44.301
5.5692,44.303
5.5808,44.306
5.5948,44.308
5.6,44.308
5.6039,44.309
5.6079,44.31
5.6127,44.311
5.618,44.314
5.6237,44.317
5.6265,44.319
5.6265,44.319
5.6302,44.323
5.6302,44.323
5.6339,44.326
5.6376,44.33
5.645,44.338
5.6543,44.349
5.6651,44.361
5.6776,44.374
5.6929,44.388
5.7,44.393
5.7036,44.396
5.7072,44.399
5.7118,44.402
5.7166,44.406
5.7219,44.409
5.7277,44.413
5.7336,44.416
5.7336,44.416
5.7399,44.42
5.7399,44.42
5.7463,44.423
5.7526,44.426
5.763,44.43
5.7745,44.434
5.7886,44.438
5.8,44.44
5.8041,44.441
5.8082,44.442
5.8133,44.445
5.8188,44.448
5.8249,44.452
5.8316,44.458
5.8392,44.465
5.8478,44.471
5.8577,44.479
5.8695,44.486
5.8836,44.494
5.9,44.502
5.9117,44.509
5.9235,44.519
5.9394,44.538
5.9579,44.562
5.9757,44.582
6,44.605
6.0055,44.61
6.011,44.614
6.0183,44.62
6.0263,44.625
6.0356,44.631
6.0463,44.637
6.0591,44.644
6.0748,44.65
6.0946,44.656
6.1,44.657
6.1034,44.658
6.1069,44.659
6.1112,44.659
6.1157,44.66
6.1207,44.66
6.1261,44.661
6.1321,44.661
6.1387,44.661
6.1404,44.661
6.1404,44.661
6.1478,44.661
6.1524,44.66
6.1524,44.66
6.1586,44.66
6.1648,44.659
6.1772,44.656
6.1909,44.653
6.2,44.65
6.2035,44.649
6.207,44.648
6.2113,44.646
6.2159,44.644
6.2209,44.642
6.2263,44.64
6.2323,44.637
6.2389,44.634
6.2464,44.63
6.2549,44.625
6.2646,44.619
6.2761,44.611
6.2899,44.601
6.3,44.594
6.3034,44.591
6.3068,44.589
6.3109,44.587
6.3153,44.585
6.32,44.584
6.3252,44.583
6.3309,44.583
6.3372,44.585
6.3442,44.587
6.3521,44.591
6.3611,44.594
6.3717,44.598
6.3842,44.602
6.4,44.605
6.4036,44.605
6.4072,44.606
6.4115,44.606
6.4161,44.607
6.4211,44.607
6.4265,44.607
6.4321,44.607
6.4321,44.607
6.4358,44.607
6.4358,44.607
6.4394,44.606
6.443,44.606
6.4503,44.605
6.4595,44.604
6.47,44.602
6.4825,44.598
6.4978,44.593
6.5,44.593
6.5052,44.591
6.5103,44.588
6.5163,44.586
6.5229,44.583
6.5303,44.579
6.5387,44.574
6.5484,44.569
6.5597,44.562
6.5733,44.553
6.5901,44.54
6.6,44.532
6.6055,44.528
6.611,44.525
6.6182,44.522
6.6262,44.521
6.6353,44.521
6.646,44.522
6.6588,44.523
6.6747,44.522
6.6949,44.52
6.7,44.519
6.7037,44.518
6.7074,44.517
6.712,44.516
6.7169,44.514
6.7222,44.513
6.7281,44.511
6.7312,44.509
6.7312,44.509
6.7359,44.508
6.7359,44.508
6.7407,44.506
6.7455,44.504
6.755,44.499
6.7652,44.494
6.7774,44.487
6.7921,44.478
6.8,44.473
6.8035,44.471
6.8071,44.468
6.8115,44.465
6.8162,44.462
6.8213,44.458
6.8269,44.453
6.8331,44.448
6.84,44.443
6.8477,44.436
6.8565,44.428
6.8668,44.419
6.8789,44.407
6.8935,44.392
6.9,44.385
6.9039,44.382
6.9078,44.378
6.9127,44.374
6.9179,44.371
6.9237,44.369
6.9265,44.368
6.9265,44.368
6.9302,44.367
6.9302,44.367
6.934,44.366
6.9378,44.366
6.9453,44.365
6.9546,44.363
6.9653,44.361
6.9781,44.357
6.9936,44.351
7,44.349
7.0036,44.347
7.0072,44.345
7.0117,44.343
7.0166,44.341
7.0219,44.338
7.0277,44.335
7.0341,44.331
7.0341,44.331
7.0405,44.327
7.0408,44.327
7.0408,44.327
7.0466,44.324
7.0525,44.32
