timestamp_gnss,timestamp_cam,distance,velocity_imu,velocity_cam,rtk,lat_gnss,long_gnss,lat_cam,long_cam
1762457738.5653427,1762465482.5449302,5.352943426246256,0.556115432749409,0.0,True,-22.8188092,-47.0639158,-22.8188201,-47.063865
1762457739.559092,1762465483.474725,5.3255210901235746,0.662311441382343,0.0,True,-22.8188094,-47.0639155,-22.81882,-47.0638649
1762457740.5676944,1762465483.9868975,5.30063984824523,0.7274308862479348,0.0,True,-22.818809599999998,-47.0639152,-22.81882,-47.0638648
1762457741.5618944,1762465484.3147228,5.2469410986143785,0.9339383581925316,0.0,True,-22.8188082,-47.0639142,-22.81882,-47.063864699999996
1762457742.5698729,1762465484.5795085,5.226187863582964,1.3241631477157452,0.0,True,-22.8188072,-47.0639136,-22.81882,-47.063864599999995
1762457743.560702,1762465484.8065317,5.244599570141483,1.705302776999172,0.0,True,-22.8188067,-47.0639135,-22.8188201,-47.0638645
1762457744.5756457,1762465485.0216882,5.250758709418061,2.005701435074604,0.0,True,-22.818805899999997,-47.063913199999995,-22.8188201,-47.0638644
1762457745.5660615,1762465485.222925,5.2522596569140765,2.147377020616428,0.036000000000000004,True,-22.8188051,-47.0639128,-22.818820199999998,-47.0638643
1762457746.5813448,1762465485.4300344,5.255831063897709,2.1602561826498117,0.0,True,-22.8188042,-47.0639124,-22.818820199999998,-47.0638642
1762457747.5855436,1762465485.6285784,5.251875498731498,2.0786075877888077,0.0,True,-22.8188033,-47.063911999999995,-22.818820199999998,-47.0638642
1762457748.5621784,1762465485.8332942,5.245982827537262,1.9456056331067861,0.0,True,-22.818802599999998,-47.0639116,-22.8188203,-47.0638642
1762457749.568979,1762465486.0278397,5.21742844838556,1.8499985253212827,0.0,True,-22.8188027,-47.0639112,-22.8188204,-47.063864099999996
1762457750.5694818,1762465486.2262259,4.902346574447902,3.4861089468649005,0.0,True,-22.818813199999997,-47.0639112,-22.818820499999998,-47.063864099999996
1762457751.5677443,1762465486.4265213,4.904184900395669,0.8860727004303832,0.0,True,-22.818813199999997,-47.0639112,-22.8188206,-47.063864099999996
1762457752.5676563,1762465486.6265848,4.906047531962039,0.08696073139454405,0.0,True,-22.818813199999997,-47.0639112,-22.8188207,-47.063864099999996
1762457753.5723212,1762465486.827624,4.895930132377482,0.1839245104527053,0.0,True,-22.8188133,-47.0639111,-22.818820799999997,-47.063864099999996
1762457754.5725615,1762465487.0277548,4.897820943915403,0.18258295719885514,0.0,True,-22.8188133,-47.0639111,-22.8188209,-47.063864099999996
1762457755.5712287,1762465487.2266858,4.889627152281288,0.17517307658528472,0.0,True,-22.8188133,-47.063911,-22.818821,-47.063864099999996
1762457756.5703673,1762465487.422879,4.891570544711795,0.15529129632381025,0.0,True,-22.818813199999997,-47.063911,-22.818821,-47.063864099999996
1762457757.5720558,1762465487.6193378,4.881466322285797,0.13906937391146418,0.0,True,-22.818813199999997,-47.063910899999996,-22.818821,-47.063864099999996
1762457758.5739598,1762465487.8133757,4.883438072997772,0.11564473908078926,0.0,True,-22.818813199999997,-47.063910899999996,-22.818821099999997,-47.063864099999996
1762457759.569115,1762465487.9956665,4.863239851722615,0.11817033773909777,0.0,True,-22.818813199999997,-47.063910799999995,-22.818821099999997,-47.0638642
1762457760.5720732,1762465488.16668,4.895530163855382,0.1154208352892695,0.036000000000000004,True,-22.818813199999997,-47.0639111,-22.8188212,-47.0638642
1762457761.5735579,1762465488.323573,4.89353822442253,0.09594821218300745,0.0,True,-22.818813199999997,-47.0639111,-22.818821099999997,-47.0638642
1762457762.5725174,1762465488.4740658,4.883438072997772,0.09209011384655127,0.036000000000000004,True,-22.818813199999997,-47.0639111,-22.818821099999997,-47.0638643
1762457763.5703259,1762465488.6151388,4.895530163855382,0.12087912194065564,0.0,True,-22.818813199999997,-47.0639112,-22.8188212,-47.0638643
1762457764.5747445,1762465488.7550287,4.885434130740598,0.12757758188194168,0.0,True,-22.818813199999997,-47.0639113,-22.8188212,-47.0638645
1762457765.5792098,1762465488.8800926,4.875338806547285,0.09977701862331577,0.0,True,-22.818813199999997,-47.0639112,-22.8188212,-47.0638645
1762457766.5717442,1762465489.0104597,4.8571832383244296,0.0528308356673251,0.036000000000000004,True,-22.8188131,-47.0639112,-22.8188212,-47.063864699999996
1762457767.5715945,1762465489.138076,4.845057139372154,0.10188629985576966,0.0,False,-22.8188131,-47.0639111,-22.818821099999997,-47.063864699999996
1762457768.5723026,1762465489.2668707,3.9757873380125472,0.7488000812986962,0.0,True,-22.8188081,-47.0639007,-22.818821099999997,-47.063864599999995
1762457769.5727594,1762465489.3936968,3.876900987175167,2.70533869055083,1.332,True,-22.8188057,-47.0638948,-22.8188215,-47.0638611
1762457770.5742655,1762465489.5199158,4.254375997202753,12.019659277957503,2.736,True,-22.8187957,-47.063884099999996,-22.8188213,-47.0638532
1762457771.5700758,1762465489.6457896,4.261544437119938,7.28775515663557,2.3760000000000003,True,-22.8187961,-47.063877299999994,-22.8188219,-47.0638465
1762457772.573265,1762465489.7708771,4.24618931653979,2.7340509551786525,1.836,True,-22.8187967,-47.0638722,-22.8188229,-47.063842
1762457773.5778146,1762465489.8965378,4.231166476831739,2.9927438766712173,2.556,True,-22.8187987,-47.063866,-22.818824499999998,-47.0638356
1762457773.8253264,1762465489.9213085,4.253792039228136,3.033153313457644,3.24,True,-22.818799499999997,-47.063863999999995,-22.818825399999998,-47.0638334
1762457774.5730748,1762465490.0087128,4.224308952552687,3.1321980140944836,3.42,True,-22.8188025,-47.0638583,-22.8188279,-47.063827599999996
1762457774.8274856,1762465490.045756,4.283889041624115,3.0711278021558575,3.42,True,-22.8188036,-47.0638563,-22.8188297,-47.0638255
1762457775.0796611,1762465490.0854023,4.329156000986067,3.125710146201775,3.456,True,-22.8188051,-47.0638546,-22.8188314,-47.0638234
1762457775.8269756,1762465490.1704676,4.284206147240391,3.0817023723763675,3.42,True,-22.818809599999998,-47.0638498,-22.8188355,-47.0638188
1762457776.3298695,1762465490.2207685,5.08067251507483,8.678706095393165,3.456,True,-22.8188036,-47.063849,-22.8188382,-47.063816499999994
1762457776.8268473,1762465490.2835994,5.323779018430972,13.151092750476282,3.384,True,-22.818805299999998,-47.063848,-22.8188416,-47.063814
1762457777.3299882,1762465490.358902,5.132701696415117,11.119483822853118,0.324,True,-22.8188048,-47.0638483,-22.818839699999998,-47.063815399999996
1762457778.3305845,1762465490.4836638,5.067213299987085,6.940139372047906,3.492,True,-22.8187985,-47.0638503,-22.8188331,-47.063818
1762457778.8345454,1762465490.5468621,5.055664632216932,8.0518973091762,5.292,True,-22.818792,-47.0638514,-22.818826299999998,-47.0638189
1762457779.0814474,1762465490.583489,5.124368417997636,9.3814529742601,5.292,True,-22.8187876,-47.063851799999995,-22.8188224,-47.0638189
1762457779.579325,1762465490.6351535,5.233497540766968,10.78219738988331,7.884,True,-22.818776099999997,-47.0638523,-22.8188122,-47.0638194
1762457779.8291616,1762465490.6714404,4.982586640055267,11.39535426110539,10.368,True,-22.818769399999997,-47.0638526,-22.818802899999998,-47.063820199999995
1762457780.829336,1762465490.7964287,4.948469498793332,13.884972694673767,11.520000000000001,True,-22.8187391,-47.0638552,-22.8187726,-47.063823299999996
1762457781.3280914,1762465490.859577,4.909979891790517,13.845460340254533,12.672,True,-22.818722599999997,-47.063859099999995,-22.818755799999998,-47.0638274
1762457781.8234909,1762465490.9086602,5.2987395748095745,13.527937892313517,13.644,True,-22.8187066,-47.0638656,-22.8187426,-47.0638316
1762457782.079434,1762465490.9218733,5.783742016206648,13.384344305976244,13.607999999999999,True,-22.8186991,-47.0638696,-22.8187401,-47.0638347
1762457782.3275194,1762465490.9599428,5.553293934345921,13.1137441838814,13.607999999999999,True,-22.818691899999997,-47.063873799999996,-22.8187312,-47.0638402
1762457782.829718,1762465491.0353246,5.238920596873513,12.65004023228149,13.176,True,-22.8186778,-47.063883,-22.8187148,-47.063851199999995
1762457783.8294864,1762465491.1582146,5.185442613569042,11.343333945810292,12.744,True,-22.8186529,-47.0639034,-22.818688899999998,-47.0638711
1762457784.0848007,1762465491.1953795,5.0559575532364045,10.950606633419016,12.132000000000001,True,-22.8186473,-47.063908399999995,-22.818683,-47.0638777
