t,out0
0,20
3.1554e-30,20
2.6801e-08,20
1.608e-07,20
8.3082e-07,20
4.1809e-06,20
2.0931e-05,20
0.00010468,20.001
0.00052344,20.007
0.0023503,20.033
0.0047666,20.066
0.0075749,20.105
0.010717,20.149
0.014176,20.197
0.017954,20.249
0.022069,20.307
0.026551,20.369
0.031443,20.437
0.036804,20.511
0.042711,20.593
0.049268,20.684
0.056614,20.786
0.064941,20.902
0.074518,21.035
0.085731,21.191
0.1,21.389
0.11645,21.617
0.13795,21.916
0.1666,22.314
0.2,22.778
0.24471,23.399
0.27368,23.801
0.3,24.167
0.33651,24.674
0.38072,25.288
0.4,25.556
0.4298,25.969
0.46955,26.522
0.5,26.944
0.52727,27.323
0.52727,27.323
0.53271,27.399
0.53815,27.474
0.54701,27.597
0.55882,27.761
0.57509,27.987
0.6,28.333
0.6353,28.824
0.6869,29.54
0.7,29.722
0.71289,29.901
0.72579,30.08
0.72981,30.136
0.73384,30.192
0.73742,30.242
0.74261,30.314
0.7478,30.386
0.75231,30.449
0.75796,30.527
0.7636,30.605
0.769,30.68
0.77455,30.756
0.7801,30.833
0.78603,30.915
0.8,31.107
0.8147,31.309
0.8294,31.509
0.84397,31.707
0.85854,31.903
0.87621,32.139
0.9,32.453
0.91697,32.674
0.93394,32.893
0.95348,33.141
0.9748,33.406
0.99747,33.683
1,33.713
1.0127,33.864
1.0342,34.117
1.0596,34.405
1.0826,34.659
1.1,34.845
1.1148,35
1.1148,35
1.1148,35
1.1406,35.262
1.1664,35.513
1.2,35.825
1.2351,36.131
1.26,36.337
1.285,36.533
1.3,36.646
1.3279,36.849
1.3534,37.024
1.3805,37.2
1.4,37.32
1.4224,37.453
1.4447,37.578
1.4746,37.737
1.5,37.863
1.527,37.99
1.5512,38.097
1.5769,38.204
1.6,38.294
1.626,38.39
1.652,38.479
1.6797,38.567
1.7,38.628
1.7306,38.712
1.7585,38.783
1.7858,38.846
1.7883,38.851
1.7883,38.851
1.8,38.876
1.8063,38.889
1.8063,38.889
1.818,38.912
1.8298,38.935
1.8418,38.956
1.8418,38.956
1.8652,38.995
1.875,39.01
1.875,39.01
1.9,39.046
1.925,39.077
1.9599,39.112
1.9894,39.135
1.9894,39.135
2,39.142
2.0018,39.143
2.0018,39.143
2.0124,39.149
2.023,39.154
2.0442,39.163
2.0659,39.168
2.0659,39.168
2.1,39.172
2.1074,39.172
2.1074,39.172
2.1415,39.168
2.1722,39.159
2.2,39.148
2.2293,39.132
2.2587,39.112
2.2689,39.105
2.2689,39.105
2.3,39.079
2.3072,39.072
2.3072,39.072
2.3383,39.042
2.3634,39.016
2.3933,38.982
2.4,38.974
2.4337,38.932
2.4407,38.923
2.4407,38.923
2.4815,38.867
2.4903,38.855
2.4903,38.855
2.5,38.841
2.5097,38.826
2.529,38.797
2.5446,38.773
2.5446,38.773
2.5742,38.726
2.5826,38.712
2.5826,38.712
2.6,38.683
2.6174,38.654
2.6521,38.593
2.7,38.506
2.7197,38.469
2.7197,38.469
2.7466,38.417
2.7494,38.412
2.7494,38.412
2.7762,38.359
2.8,38.311
2.8279,38.254
2.8558,38.196
2.8945,38.114
2.9,38.102
2.9276,38.043
2.9722,37.944
3,37.882
3.0308,37.813
3.0659,37.733
3.1,37.655
3.1359,37.572
3.1685,37.497
3.2,37.423
3.2302,37.352
3.2617,37.278
3.2951,37.198
3.3,37.187
3.3244,37.128
3.3592,37.045
3.4,36.947
3.4292,36.877
3.4584,36.807
3.4911,36.729
3.5,36.707
3.532,36.631
3.564,36.555
3.5965,36.479
3.6,36.47
3.6176,36.429
3.6496,36.355
3.6892,36.264
3.7,36.239
3.733,36.165
3.7661,36.092
3.8,36.018
3.8288,35.957
3.8565,35.899
3.8883,35.834
3.9,35.81
3.9433,35.724
3.9695,35.673
3.9957,35.624
4,35.616
4.0213,35.576
4.0646,35.498
4.1,35.437
4.1477,35.358
4.1731,35.317
4.2,35.275
4.2353,35.221
4.2777,35.16
4.3,35.129
4.3309,35.087
4.3733,35.032
4.3988,35
4.3988,35
4.4,34.999
4.4012,34.997
4.4035,34.994
4.4081,34.989
4.4174,34.978
4.436,34.956
4.4732,34.913
4.5,34.884
4.5565,34.827
4.5816,34.803
4.6,34.786
4.6374,34.753
4.6728,34.723
4.7,34.702
4.7347,34.676
4.7719,34.651
4.8,34.633
4.8311,34.614
4.866,34.594
4.9,34.577
4.9375,34.559
4.971,34.545
5,34.534
5.0285,34.524
5.0606,34.514
5.1,34.503
