t,out1
0,20
3.1554e-30,20
2.6662e-08,20
1.5997e-07,20
8.2653e-07,20
4.1593e-06,20
2.0823e-05,20
0.00010414,20.001
0.00052074,20.007
0.0023458,20.033
0.0047612,20.066
0.0075688,20.105
0.010711,20.149
0.014169,20.197
0.017946,20.249
0.022061,20.306
0.026542,20.369
0.031433,20.437
0.036793,20.511
0.042699,20.593
0.049255,20.684
0.0566,20.786
0.064925,20.902
0.0745,21.035
0.08571,21.19
0.1,21.389
0.10642,21.478
0.11284,21.567
0.12066,21.676
0.12946,21.798
0.13967,21.94
0.15173,22.107
0.16633,22.31
0.18459,22.564
0.2,22.778
0.2017,22.801
0.20267,22.815
0.20267,22.815
0.20437,22.839
0.21288,22.957
0.22185,23.081
0.23245,23.228
0.24499,23.403
0.26028,23.615
0.27955,23.883
0.3,24.167
0.30178,24.191
0.30197,24.194
0.30197,24.194
0.30375,24.219
0.31267,24.343
0.32229,24.476
0.33373,24.635
0.34742,24.825
0.36436,25.061
0.38612,25.363
0.4,25.556
0.40173,25.58
0.40346,25.604
0.40539,25.63
0.41488,25.762
0.42422,25.892
0.43551,26.048
0.44894,26.235
0.46552,26.465
0.48673,26.759
0.5,26.943
0.50467,27.008
0.50933,27.073
0.51572,27.161
0.52264,27.257
0.53048,27.366
0.53942,27.49
0.5498,27.634
0.56208,27.805
0.577,28.012
0.59572,28.271
0.6,28.331
0.60435,28.391
0.6087,28.451
0.61403,28.525
0.61979,28.605
0.62618,28.694
0.63332,28.793
0.63649,28.837
0.63649,28.837
0.64114,28.902
0.6458,28.966
0.65106,29.039
0.65688,29.12
0.6634,29.211
0.67078,29.313
0.67923,29.43
0.68908,29.567
0.7,29.718
0.70417,29.776
0.70834,29.834
0.71321,29.902
0.71847,29.975
0.72425,30.055
0.73066,30.144
0.73781,30.243
0.7459,30.355
0.75483,30.479
0.75483,30.479
0.76154,30.573
0.76826,30.666
0.77607,30.774
0.78494,30.897
0.79524,31.04
0.8,31.106
0.80429,31.166
0.80859,31.224
0.81365,31.293
0.81913,31.366
0.82518,31.446
0.8319,31.533
0.83945,31.629
0.84471,31.695
0.84471,31.695
0.85203,31.786
0.85835,31.864
0.86565,31.953
0.87393,32.053
0.88349,32.167
0.89475,32.301
0.9,32.362
0.90483,32.419
0.90966,32.475
0.9155,32.543
0.92187,32.618
0.92901,32.702
0.93305,32.75
0.93305,32.75
0.93897,32.82
0.94489,32.89
0.95166,32.971
0.95923,33.061
0.96785,33.163
0.97792,33.283
0.98923,33.418
1,33.546
1.0048,33.602
1.0096,33.658
1.0153,33.724
1.0216,33.794
1.0285,33.872
1.0364,33.958
1.0454,34.054
1.0521,34.124
1.0521,34.124
1.0625,34.232
1.0713,34.321
1.0822,34.43
1.0952,34.558
1.0971,34.577
1.0971,34.577
1.0971,34.577
1.1,34.605
1.1029,34.633
1.1087,34.689
1.1154,34.755
1.123,34.828
1.1315,34.913
1.1414,35.011
1.1529,35.126
1.1672,35.266
1.1857,35.443
1.2,35.578
1.204,35.616
1.2081,35.653
1.2134,35.701
1.2191,35.752
1.2254,35.808
1.2325,35.869
1.2329,35.872
1.2329,35.872
1.2349,35.89
1.2349,35.89
1.2349,35.89
1.237,35.907
1.239,35.924
1.2431,35.958
1.2503,36.018
1.258,36.081
1.2668,36.15
1.2771,36.23
1.2894,36.323
1.3,36.401
1.3047,36.435
1.3095,36.468
1.3153,36.509
1.3216,36.553
1.3287,36.6
1.3367,36.653
1.3458,36.712
1.3564,36.779
1.3569,36.782
1.3569,36.782
1.3695,36.858
1.3803,36.921
1.3942,37
1.4,37.032
1.4057,37.063
1.4114,37.095
1.4181,37.133
1.4181,37.133
1.4253,37.174
1.4316,37.212
1.439,37.256
1.4473,37.306
1.4566,37.362
1.4674,37.426
1.4803,37.501
1.4841,37.523
1.4841,37.523
1.5,37.613
1.5059,37.646
1.5118,37.678
1.5189,37.716
1.5269,37.758
1.536,37.804
1.5466,37.857
1.5591,37.917
1.5744,37.986
1.5933,38.069
1.6,38.097
1.6115,38.146
1.6229,38.197
1.6397,38.274
1.659,38.359
1.6796,38.445
1.7,38.524
1.7066,38.548
1.7131,38.572
1.7219,38.603
1.7318,38.637
1.7434,38.675
1.7574,38.719
1.7748,38.77
1.7972,38.831
1.8,38.838
1.8062,38.854
1.8124,38.869
1.8199,38.887
1.8282,38.906
1.8378,38.928
1.8491,38.952
1.8626,38.979
1.8793,39.01
1.9,39.045
1.9046,39.052
1.9092,39.059
