timestamp_gnss,timestamp_cam,distance,velocity_imu,velocity_cam,rtk,lat_gnss,long_gnss,lat_cam,long_cam
1762458315.8407238,1762540234.4616191,0.8190164830085392,0.05737783092057631,0.0,False,-22.819426,-47.064671,-22.819419399999997,-47.0646746
1762458316.8392272,1762540235.4636588,0.8243883672532732,0.05442014546376137,0.0,False,-22.819426,-47.064670799999995,-22.8194193,-47.0646743
1762458317.8385603,1762540236.451793,0.8343693096637974,0.04645749698372822,0.0,False,-22.819426099999998,-47.0646705,-22.8194193,-47.064674
1762458318.837989,1762540237.4614258,0.8443775134123627,0.034283152840168335,0.036000000000000004,False,-22.8194262,-47.064670299999996,-22.8194193,-47.0646738
1762458319.8366408,1762540238.45059,0.8487967349654987,0.023179709382230834,0.07200000000000001,False,-22.8194263,-47.064670199999995,-22.819419399999997,-47.0646738
1762458320.8364205,1762540239.463173,0.8388412586490527,0.02770763716200965,0.07200000000000001,False,-22.8194263,-47.0646701,-22.8194195,-47.0646737
1762458321.8345835,1762540240.443328,0.8579354535225487,0.03823010274967559,0.036000000000000004,False,-22.819426399999998,-47.0646699,-22.8194195,-47.0646737
1762458322.8348465,1762540241.2112746,0.8579354535225487,0.03423923947844968,0.0,False,-22.819426399999998,-47.0646698,-22.8194195,-47.0646736
1762458323.835261,1762540241.7933109,0.8579354535225487,0.03582105816252281,0.0,False,-22.819426399999998,-47.064669699999996,-22.8194195,-47.0646735
1762458324.83896,1762540242.2813277,0.8480872615577196,0.04147098244557102,0.0,False,-22.8194263,-47.064669599999995,-22.8194195,-47.0646734
1762458325.8386579,1762540242.7160153,0.848087261557785,0.04825741751997023,0.0,False,-22.8194263,-47.0646695,-22.8194195,-47.064673299999995
1762458326.838512,1762540243.1098065,0.8579354531692497,0.044632550839308734,0.0,False,-22.819426399999998,-47.0646694,-22.8194195,-47.064673199999994
1762458327.8378236,1762540243.4743986,0.853316577793491,0.029576906638589143,0.0,False,-22.819426399999998,-47.0646693,-22.8194195,-47.064673
1762458328.8359118,1762540243.8171608,0.8487967335568183,0.014524978918797612,0.0,False,-22.819426399999998,-47.0646692,-22.8194195,-47.0646728
1762458329.8359544,1762540244.1370559,0.8443775130711223,0.03308020361886001,0.0,False,-22.8194265,-47.0646692,-22.8194196,-47.064672699999996
1762458330.8336577,1762540244.4381323,0.8443775134090563,1.4230658304126407,0.25200000000000006,False,-22.819426099999998,-47.0646688,-22.8194192,-47.0646723
1762458331.5866585,1762540244.642732,0.911340328484902,3.8986693379116693,2.3400000000000003,False,-22.819422799999998,-47.0646661,-22.819416,-47.0646711
1762458331.8405323,1762540244.7032905,0.9654053680460656,5.160405923161709,3.3480000000000003,False,-22.8194207,-47.0646645,-22.8194144,-47.064671
1762458332.3372939,1762540244.8424823,1.140005483904672,8.567149728921581,5.4,False,-22.8194141,-47.0646595,-22.819408199999998,-47.0646686
1762458332.5843444,1762540244.9245512,1.1148234869459783,10.617679566922806,7.416,False,-22.819409099999998,-47.0646561,-22.8194025,-47.0646643
1762458332.8397083,1762540245.0091631,1.04123647189239,12.32999965627988,9.324,False,-22.8194032,-47.064652099999996,-22.8193953,-47.0646576
1762458333.0888093,1762540245.11687,1.7243631198954903,14.003274876294492,11.448,False,-22.819396299999998,-47.064647799999996,-22.819384,-47.064658099999995
1762458333.831831,1762540245.2976322,1.4425462451218887,17.020088411244274,13.68,False,-22.8193715,-47.0646335,-22.81936,-47.0646401
1762458334.3421307,1762540245.3999572,1.1241389066560568,19.354442776383298,15.659999999999998,False,-22.819351299999997,-47.064622899999996,-22.8193432,-47.064629499999995
1762458334.5828412,1762540245.5056527,2.170063529396216,21.590353578132255,17.568,False,-22.8193399,-47.064617,-22.819326,-47.064631899999995
1762458335.3334482,1762540245.6325216,2.40384189954629,23.86309537409928,19.8,False,-22.8193007,-47.0645971,-22.819299899999997,-47.0646205
