timestamp_gnss,timestamp_cam,distance,velocity_imu,velocity_cam,lat_gnss,long_gnss,lat_cam,long_cam
1762457738.5653427,1762462972.922889,5.352943426246256,0.556115432749409,0.0,-22.8188092,-47.0639158,-22.8188201,-47.063865
1762457739.559092,1762462973.9254026,5.3255210901235746,0.6630635070545458,0.0,-22.8188094,-47.0639155,-22.81882,-47.0638649
1762457740.5676944,1762462974.9324958,5.30063984824523,0.7274308862479348,0.0,-22.818809599999998,-47.0639152,-22.81882,-47.0638648
1762457741.5618944,1762462975.9228153,5.2469410986143785,0.9362974157133765,0.0,-22.8188082,-47.0639142,-22.81882,-47.063864699999996
1762457742.5698729,1762462976.9321454,5.226187863582964,1.3241631477157452,0.0,-22.8188072,-47.0639136,-22.81882,-47.063864599999995
1762457743.560702,1762462977.9244947,5.244599570141483,1.705302776999172,0.0,-22.8188067,-47.0639135,-22.8188201,-47.0638645
1762457744.5756457,1762462978.9272153,5.250758709418061,2.006036215344438,0.0,-22.818805899999997,-47.063913199999995,-22.8188201,-47.0638644
1762457745.5660615,1762462979.9263113,5.2522596569140765,2.147377020616428,0.036000000000000004,-22.8188051,-47.0639128,-22.818820199999998,-47.0638643
1762457746.5813448,1762462980.9219165,5.255831063897709,2.157399455519047,0.0,-22.8188042,-47.0639124,-22.818820199999998,-47.0638642
1762457747.5855436,1762462981.9289134,5.251875498731498,2.0786075877888077,0.0,-22.8188033,-47.063911999999995,-22.818820199999998,-47.0638642
1762457748.5621784,1762462982.929188,5.245982827537262,1.946304466946384,0.0,-22.818802599999998,-47.0639116,-22.8188203,-47.0638642
1762457749.568979,1762462983.9309647,5.21742844838556,1.8499985253212827,0.0,-22.8188027,-47.0639112,-22.8188204,-47.063864099999996
1762457750.5694818,1762462984.9229653,4.902346574447902,3.4861089468649005,0.0,-22.818813199999997,-47.0639112,-22.818820499999998,-47.063864099999996
1762457751.5677443,1762462985.924923,4.904184900395669,0.8860727004303832,0.0,-22.818813199999997,-47.0639112,-22.8188206,-47.063864099999996
1762457752.5676563,1762462986.9241118,4.906047531962039,0.08696073139454405,0.0,-22.818813199999997,-47.0639112,-22.8188207,-47.063864099999996
1762457753.5723212,1762462987.929451,4.895930132377482,0.18411029769004722,0.0,-22.8188133,-47.0639111,-22.818820799999997,-47.063864099999996
1762457754.5725615,1762462988.9283009,4.897820943915403,0.18258295719885514,0.0,-22.8188133,-47.0639111,-22.8188209,-47.063864099999996
1762457755.5712287,1762462989.9276779,4.889627152281288,0.17517307658528472,0.0,-22.8188133,-47.063911,-22.818821,-47.063864099999996
1762457756.5703673,1762462990.9218574,4.891570544711795,0.15529129632381025,0.0,-22.818813199999997,-47.063911,-22.818821,-47.063864099999996
1762457757.5720558,1762462991.9241889,4.881466322285797,0.14012842953636975,0.0,-22.818813199999997,-47.063910899999996,-22.818821,-47.063864099999996
1762457758.5739598,1762462992.9265733,4.883438072997772,0.11564473908078926,0.0,-22.818813199999997,-47.063910899999996,-22.818821099999997,-47.063864099999996
1762457759.569115,1762462993.9227118,4.863239851722615,0.11817033773909777,0.0,-22.818813199999997,-47.063910799999995,-22.818821099999997,-47.0638642
1762457760.5720732,1762462994.9323688,4.895530163855382,0.1154208352892695,0.036000000000000004,-22.818813199999997,-47.0639111,-22.8188212,-47.0638642
1762457761.5735579,1762462995.9240277,4.89353822442253,0.09605727453723716,0.0,-22.818813199999997,-47.0639111,-22.818821099999997,-47.0638642
1762457762.5725174,1762462996.9312282,4.883438072997772,0.09167751722356687,0.036000000000000004,-22.818813199999997,-47.0639111,-22.818821099999997,-47.0638643
1762457763.5703259,1762462997.9255562,4.895530163855382,0.12087912194065564,0.0,-22.818813199999997,-47.0639112,-22.8188212,-47.0638643
1762457764.5747445,1762462998.9326355,4.885434130740598,0.12740985768338306,0.0,-22.818813199999997,-47.0639113,-22.8188212,-47.0638645
1762457765.5792098,1762462999.9262786,4.875338806547285,0.09977701862331577,0.0,-22.818813199999997,-47.0639112,-22.8188212,-47.0638645
1762457766.5717442,1762463000.9288313,4.8571832383244296,0.0528308356673251,0.036000000000000004,-22.8188131,-47.0639112,-22.8188212,-47.063864699999996
1762457767.5715945,1762463001.9227383,4.845057139372154,0.10302052714642829,0.0,-22.8188131,-47.0639111,-22.818821099999997,-47.063864699999996
1762457768.5723026,1762463002.9261432,3.9757873380125472,0.7488000812986962,0.0,-22.8188081,-47.0639007,-22.818821099999997,-47.063864599999995
1762457769.5727594,1762463003.9285502,3.876900987175167,2.7090337477385384,1.332,-22.8188057,-47.0638948,-22.8188215,-47.0638611
1762457770.5742655,1762463004.92268,4.254375997202753,12.019659277957503,2.736,-22.8187957,-47.063884099999996,-22.8188213,-47.0638532
1762457771.5700758,1762463005.9245472,4.261544437119938,7.28775515663557,2.3760000000000003,-22.8187961,-47.063877299999994,-22.8188219,-47.0638465
1762457772.573265,1762463006.9215305,4.24618931653979,2.7340509551786525,1.836,-22.8187967,-47.0638722,-22.8188229,-47.063842
1762457773.5778146,1762463007.9295819,4.231166476831739,2.9927438766712173,2.556,-22.8187987,-47.063866,-22.818824499999998,-47.0638356
1762457773.8253264,1762463008.1292622,4.253792039228136,3.033153313457644,3.24,-22.818799499999997,-47.063863999999995,-22.818825399999998,-47.0638334
1762457774.5730748,1762463008.8263524,4.224308952552687,3.1321980140944836,3.42,-22.8188025,-47.0638583,-22.8188279,-47.063827599999996
1762457774.8274856,1762463009.124924,4.283889041624115,3.071666694174819,3.42,-22.8188036,-47.0638563,-22.8188297,-47.0638255
1762457775.0796611,1762463009.4411676,4.329156000986067,3.125710146201775,3.456,-22.8188051,-47.0638546,-22.8188314,-47.0638234
1762457775.8269756,1762463010.122499,4.284206147240391,3.0780954791886876,3.42,-22.818809599999998,-47.0638498,-22.8188355,-47.0638188
1762457776.3298695,1762463010.521792,5.08067251507483,8.678706095393165,3.456,-22.8188036,-47.063849,-22.8188382,-47.063816499999994
1762457776.8268473,1762463011.0270483,5.323779018430972,13.151092750476282,3.384,-22.818805299999998,-47.063848,-22.8188416,-47.063814
1762457777.3299882,1762463011.6303701,5.132701696415117,11.119483822853118,0.324,-22.8188048,-47.0638483,-22.818839699999998,-47.063815399999996
1762457778.3305845,1762463012.6271036,5.067213299987085,6.940139372047906,3.492,-22.8187985,-47.0638503,-22.8188331,-47.063818
1762457778.8345454,1762463013.1331668,5.055664632216932,8.0518973091762,5.292,-22.818792,-47.0638514,-22.818826299999998,-47.0638189
1762457779.0814474,1762463013.4266813,5.124368417997636,9.3814529742601,5.292,-22.8187876,-47.063851799999995,-22.8188224,-47.0638189
1762457779.579325,1762463013.8392336,5.233497540766968,10.78219738988331,7.884,-22.818776099999997,-47.0638523,-22.8188122,-47.0638194
1762457779.8291616,1762463014.1300468,4.982586640055267,11.39535426110539,10.368,-22.818769399999997,-47.0638526,-22.818802899999998,-47.063820199999995
1762457780.829336,1762463015.1289704,4.948469498793332,13.884972694673767,11.520000000000001,-22.8187391,-47.0638552,-22.8187726,-47.063823299999996
1762457781.3280914,1762463015.634639,4.909979891790517,13.845460340254533,12.672,-22.818722599999997,-47.063859099999995,-22.818755799999998,-47.0638274
1762457781.8234909,1762463016.0278301,5.2987395748095745,13.527937892313517,13.644,-22.8187066,-47.0638656,-22.8187426,-47.0638316
1762457782.079434,1762463016.1300628,5.783742016206648,13.384344305976244,13.607999999999999,-22.8186991,-47.0638696,-22.8187401,-47.0638347
1762457782.3275194,1762463016.4343305,5.553293934345921,13.1137441838814,13.607999999999999,-22.818691899999997,-47.063873799999996,-22.8187312,-47.0638402
1762457782.829718,1762463017.0403554,5.238920596873513,12.65004023228149,13.176,-22.8186778,-47.063883,-22.8187148,-47.063851199999995
1762457783.8294864,1762463018.0232122,5.185442613569042,11.339332090173556,12.744,-22.8186529,-47.0639034,-22.818688899999998,-47.0638711
1762457784.0848007,1762463018.3223796,5.0559575532364045,10.950606633419016,12.132000000000001,-22.8186473,-47.063908399999995,-22.818683,-47.0638777
1762457784.8289473,1762463019.1254306,4.943905133952852,9.990002299904004,10.620000000000001,-22.8186313,-47.063922,-22.818666,-47.0638917
